0.0 0.5000000000000001 0.0 0.0
0.05 0.5 4.440892098500626e-16 -5.768087548367575e-29
0.1 0.5 -2.220446049250313e-16 3.3734681057050403e-29
0.15 0.5 -8.881784197001252e-16 3.0863603479655306e-28
0.2 0.5 -1.3322676295501878e-15 6.26038718397631e-28
0.25 0.5 -6.661338147750956e-16 4.221628876680091e-28
0.3 0.5 -1.1102230246251532e-15 1.2513269630121052e-27
0.35 0.5 -1.3322676295501878e-15 1.6716904883028117e-27
0.4 0.5 -1.3322676295501878e-15 2.2883205479681167e-27
0.45 0.5 -1.776356839400251e-15 3.361107435380893e-27
0.5 0.5 -2.886579864025407e-15 5.102469698359046e-27
0.55 0.5 -3.552713678800501e-15 6.463626970370475e-27
0.6 0.5 -3.9968028886505635e-15 7.204921595175608e-27
0.65 0.5 -4.6629367034256575e-15 8.613419765964064e-27
0.7 0.5 -5.329070518200751e-15 9.80289810198885e-27
0.75 0.5 -5.329070518200751e-15 9.83460044961742e-27
0.8 0.5 -5.995204332975845e-15 1.1573004968016148e-26
0.85 0.5 -6.217248937900877e-15 1.258404330109673e-26
0.9 0.5 -6.661338147750939e-15 1.3733435426018286e-26
0.95 0.5 -7.105427357601002e-15 1.3980203208781524e-26
1.0 0.5 -7.327471962526033e-15 1.3960038272093526e-26
1.05 0.5 -7.993605777301127e-15 1.7333197950112102e-26
1.1 0.5 -8.881784197001252e-15 2.2666548322000678e-26
1.15 0.5 -9.547918011776375e-15 2.665161019443177e-26
1.2 0.5 -1.0214051826551467e-14 3.240538194511596e-26
1.25 0.5 -1.0658141036401503e-14 3.659333432400779e-26
1.3 0.5 -1.1102230246251592e-14 4.067048024401562e-26
1.35 0.5 -1.1546319456101628e-14 4.2226500666646775e-26
1.4 0.5 -1.2434497875801737e-14 4.586467475783681e-26
1.45 0.5 -1.3322676295501878e-14 5.0007741350671545e-26
1.5 0.5 -1.354472090042691e-14 5.196621611608168e-26
1.55 0.5 -1.4210854715202004e-14 5.504074150112198e-26
1.6 0.5 -1.4876988529977098e-14 5.881566040329666e-26
1.65 0.5 -1.532107773982716e-14 6.105204463643481e-26
1.7 0.5 -1.554312234475219e-14 5.937288918578403e-26
1.75 0.5 -1.5987211554602254e-14 6.141827070924948e-26
1.8 0.5 -1.6431300764452317e-14 6.406130379839733e-26
1.85 0.5 -1.709743457922741e-14 6.611536038830061e-26
1.9 0.5 -1.7985612998927536e-14 6.929935501110989e-26
1.95 0.5 -1.7985612998927536e-14 6.264484324249199e-26
2.0 0.5 -1.7541523789077473e-14 5.371186677517739e-26
2.05 0.5 -1.7763568394002498e-14 6.037327825260032e-26
2.1 0.5 -1.7763568394002505e-14 5.214236827877051e-26
2.15 0.5 -1.8873791418627664e-14 6.35743018687945e-26
2.2 0.5 -1.9317880628477724e-14 6.212769064763926e-26
2.25 0.5 -2.0650148258027918e-14 7.405548313522863e-26
2.3 0.5 -2.1760371282653075e-14 8.48387929267137e-26
2.35 0.5 -2.2870594307278225e-14 9.995384124227239e-26
2.4 0.5 -2.4202861936828416e-14 1.1518458530974673e-25
2.45 0.5 -2.486899575160356e-14 1.2532854949488591e-25
2.5 0.5 -2.5757174171303632e-14 1.3563132754248768e-25
2.55 0.5 -2.6645352591003757e-14 1.4320282049720643e-25
2.6 0.5 -2.708944180085382e-14 1.457477265654389e-25
2.65 0.5 -2.7755575615628917e-14 1.509051574821006e-25
2.7 0.5 -2.8865798640254076e-14 1.5927715512944511e-25
2.75 0.5 -2.930988785010413e-14 1.631796162032741e-25
2.8 0.5 -2.9976021664879227e-14 1.6967362939921635e-25
2.85 0.5 -3.0642155479654327e-14 1.756641525229676e-25
2.9 0.5 -3.064215547965432e-14 1.78101467962024e-25
2.95 0.5 -3.1530333899354446e-14 1.872208821829263e-25
3.0 0.5 -3.175237850427948e-14 1.8876789528335636e-25
3.05 0.5 -3.241851231905458e-14 1.9419914710139378e-25
3.1 0.5 -3.3084646133829665e-14 1.9850459459249962e-25
3.15 0.5 -3.375077994860476e-14 2.0069987274169832e-25
3.2 0.5 -3.5083047578155054e-14 2.108545513412498e-25
3.25 0.5 -3.530509218307998e-14 2.120299254832572e-25
3.3 0.5 -3.552713678800501e-14 2.1466134994909363e-25
3.35 0.5 -3.6415315207705135e-14 2.2365905162968804e-25
3.4 0.5 -3.68594044175552e-14 2.2871907184929094e-25
3.45 0.5 -3.730349362740526e-14 2.3333667545529187e-25
3.5 0.5 -3.8191672047105385e-14 2.4482635602128556e-25
3.55 0.5 -3.885780586188048e-14 2.454836111544418e-25
3.6 0.5 -3.930189507173054e-14 2.5443101463297393e-25
3.65 0.5 -4.041211809635581e-14 2.661643637941147e-25
3.7 0.5 -4.17443857259059e-14 2.8660504825063557e-25
3.75 0.5 -4.285460875053105e-14 3.039707051268802e-25
3.8 0.5 -4.3520742565306136e-14 3.1794027316212326e-25
3.85 0.5 -4.4186876380081237e-14 3.286279221459859e-25
3.9 0.5 -4.463096558993129e-14 3.558875186127199e-25
3.95 0.5 -4.4853010194856324e-14 3.5825020569611595e-25
4.0 0.5 -4.574118861455646e-14 3.902940280167008e-25
4.05 0.5 -4.6407322429331543e-14 4.047383696765359e-25
4.1 0.5 -4.707345624410664e-14 4.112994382404375e-25
4.15 0.5 -4.729550084903167e-14 4.0687887747269893e-25
4.2 0.5 -4.773959005888173e-14 4.18926665843762e-25
4.25 0.5 -4.8183679268731794e-14 4.049246330740407e-25
4.3 0.5 -4.9293902293356957e-14 4.247673617822111e-25
4.35 0.5 -5.0182080713057076e-14 4.3548796771543035e-25
